scientific_name,dive_site,mean_prob_across_seasons,l95_mean,u95_mean,site_rank
Neotrygon kuhlii,Surin Islands,7.2879044341227934e-6,NA,NA,9
Neotrygon kuhlii,Shark Cave,1.8447128746127269e-9,NA,NA,10
Neotrygon kuhlii,8 Mile Rock,5.599770773419236e-17,NA,NA,11
Neotrygon kuhlii,Black Rock,1.0212883148262043e-22,NA,NA,12
Neotrygon kuhlii,Koh Bon,3.0663165017618374e-23,NA,NA,13
Neotrygon kuhlii,Elephant Head Rock,3.557341825181039e-26,NA,NA,14
Neotrygon kuhlii,Shark Fin Reef,4.220723726029711e-27,NA,NA,15
Neotrygon kuhlii,Seafan Forest,2.8277218257544458e-27,NA,NA,16
Neotrygon kuhlii,Koh Bida Nok,3.330096091231633e-28,NA,NA,17
Neotrygon kuhlii,Shark Point,1.0604267261713948e-28,NA,NA,18
Neotrygon kuhlii,Western Rocky,6.518287646682982e-29,NA,NA,19
Pateobatis jenkinsii,Mergui Archipelago,0.13551726528328573,NA,NA,1
Pateobatis jenkinsii,Western Rocky,0.07737659304249006,NA,NA,2
Pateobatis jenkinsii,Richelieu Rock,0.06481454488568811,NA,NA,3
Pateobatis jenkinsii,Koh Chi,0.05923965372409097,NA,NA,4
Pateobatis jenkinsii,Similan Islands,0.05793808578949179,NA,NA,5
Pateobatis jenkinsii,Koh Bon,0.05578882423186902,NA,NA,6
Pateobatis jenkinsii,Surin Islands,0.05139540616114323,NA,NA,7
Pateobatis jenkinsii,Black Rock,0.03451086158575228,NA,NA,8
Pateobatis jenkinsii,Elephant Head Rock,0.031893086743158175,NA,NA,9
Pateobatis jenkinsii,8 Mile Rock,2.787102291540296e-13,NA,NA,10
Pateobatis jenkinsii,Burma Banks,2.9424836967445017e-17,NA,NA,11
Pateobatis jenkinsii,Seafan Forest,2.459695340829989e-19,NA,NA,12
Pateobatis jenkinsii,Shark Cave,1.2188672177662629e-20,NA,NA,13
Pateobatis jenkinsii,North Twin,3.8749040984749154e-22,NA,NA,14
Pateobatis jenkinsii,Koh Tachai,1.4660630666049982e-22,NA,NA,15
Pateobatis jenkinsii,Shark Point,2.9803123880762134e-23,NA,NA,16
Pateobatis jenkinsii,Shark Fin Reef,2.520283298694539e-24,NA,NA,17
Pateobatis jenkinsii,Koh Bida Nok,7.3277455429432825e-25,NA,NA,18
Pateobatis jenkinsii,Three Trees,1.0318170838444472e-26,NA,NA,19
Rhinobatidae spp,Koh Chi,3.717533158812942e-4,NA,NA,1
Rhinobatidae spp,Elephant Head Rock,2.530062870463606e-4,NA,NA,2
Rhinobatidae spp,Koh Bon,2.1285760353927612e-4,NA,NA,3
Rhinobatidae spp,Shark Point,1.793942798116559e-4,NA,NA,4
Rhinobatidae spp,Similan Islands,7.396640862863199e-5,NA,NA,5
Rhinobatidae spp,Surin Islands,3.1723310557519894e-5,NA,NA,6
Rhinobatidae spp,Richelieu Rock,3.025204493280558e-5,NA,NA,7
Rhinobatidae spp,Mergui Archipelago,2.2121894800451478e-5,NA,NA,8
Rhinobatidae spp,8 Mile Rock,4.38324476137447e-16,NA,NA,9
Rhinobatidae spp,Black Rock,1.3769226789877473e-17,NA,NA,10
Rhinobatidae spp,North Twin,2.3083940518959533e-19,NA,NA,11
Rhinobatidae spp,Burma Banks,1.474738351424072e-19,NA,NA,12
Rhinobatidae spp,Seafan Forest,5.022316711894708e-20,NA,NA,13
Rhinobatidae spp,Shark Cave,3.1059752826090873e-20,NA,NA,14
Rhinobatidae spp,Western Rocky,2.969503797906419e-20,NA,NA,15
Rhinobatidae spp,Three Trees,1.5467381958058264e-25,NA,NA,16
Rhinobatidae spp,Koh Bida Nok,2.1225431404496688e-26,NA,NA,17
Rhinobatidae spp,Koh Tachai,1.239164958650656e-28,NA,NA,18
Rhinobatidae spp,Shark Fin Reef,2.950268490447919e-31,NA,NA,19
Rhinocodon typus,Richelieu Rock,0.2500040600398308,NA,NA,1
Rhinocodon typus,Koh Chi,0.2500021820556555,NA,NA,2
Rhinocodon typus,Mergui Archipelago,0.24999416267133595,NA,NA,3
Rhinocodon typus,8 Mile Rock,5.913714495700629e-4,NA,NA,4
Rhinocodon typus,Three Trees,3.030917791924446e-5,NA,NA,5
Rhinocodon typus,Shark Fin Reef,2.7255314482980658e-5,NA,NA,6
Rhinocodon typus,Similan Islands,1.3745962503378228e-5,NA,NA,7
Rhinocodon typus,Elephant Head Rock,1.2113471713789499e-5,NA,NA,8
Rhinocodon typus,Koh Tachai,1.142262051085501e-6,NA,NA,9
Rhinocodon typus,North Twin,1.1265403736544672e-6,NA,NA,10
Rhinocodon typus,Shark Cave,8.934486798742952e-7,NA,NA,11
Rhinocodon typus,Surin Islands,4.057050636037626e-7,NA,NA,12
Rhinocodon typus,Koh Bon,3.4856609219631626e-7,NA,NA,13
Rhinocodon typus,Shark Point,6.834011955041717e-9,NA,NA,14
Rhinocodon typus,Western Rocky,6.132644597489356e-10,NA,NA,15
Rhinocodon typus,Black Rock,2.1062481259326842e-10,NA,NA,16
Rhinocodon typus,Koh Bida Nok,7.741316968192078e-16,NA,NA,17
Rhinocodon typus,Seafan Forest,4.649265019441127e-16,NA,NA,18
Rhinocodon typus,Burma Banks,1.382565163391168e-19,NA,NA,19
Stegostoma tigrinum,Shark Point,0.9999954315992748,NA,NA,1
Stegostoma tigrinum,Elephant Head Rock,6.615843114414523e-5,NA,NA,2
