species,genus,species_epithet,scientific_name,group,country,region,dive_site,site_type,sighting_date,year,month,n,ym
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Similan Islands,NA,2014-11-26,2014,11,3,2014-11-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Mergui Archipelago,NA,2019-02-12,2019,2,1,2019-02-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2019-02-12,2019,2,1,2019-02-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2019-02-12,2019,2,1,2019-02-01
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Myanmar,Mergui,Mergui Archipelago,NA,2012-11-11,2012,11,1,2012-11-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Cathedral,site,2012-11-11,2012,11,1,2012-11-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,2017-12-15,2017,12,1,2017-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Koh Lanta,Hin Daeng,site,2021-12-10,2021,12,1,2021-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Tachai,site,2015-01-16,2015,1,1,2015-01-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Surin,Surin Islands,NA,2016-01-17,2016,1,1,2016-01-01
zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Thailand,Surin,Surin Islands,NA,2016-01-17,2016,1,1,2016-01-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Surin,Surin Islands,NA,2016-11-06,2016,11,5,2016-11-01
whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark,Thailand,Surin,Surin Islands,NA,2016-11-06,2016,11,2,2016-11-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Surin,Surin Islands,NA,2016-11-06,2016,11,3,2016-11-01
zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Thailand,Surin,Surin Islands,NA,2016-11-06,2016,11,1,2016-11-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2018-12-14,2018,12,1,2018-12-01
brown banded bamboo shark,Chiloscyllium,punctatum,Chiloscyllium punctatum,shark,Myanmar,Mergui,Mergui Archipelago,NA,2018-12-14,2018,12,3,2018-12-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2018-12-14,2018,12,1,2018-12-01
whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2018-12-14,2018,12,1,2018-12-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2013-09-01,2013,9,1,2013-09-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Mergui Archipelago,NA,2019-12-21,2019,12,3,2019-12-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Myanmar,Mergui,Mergui Archipelago,NA,2019-12-21,2019,12,8,2019-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2019-12-21,2019,12,5,2019-12-01
grey reef shark,Carcharhinus,amblyrhynchos,Carcharhinus amblyrhynchos,shark,Myanmar,Mergui,Mergui Archipelago,NA,2019-12-21,2019,12,3,2019-12-01
guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray,Myanmar,Mergui,Mergui Archipelago,NA,2019-12-21,2019,12,1,2019-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Richelieu Rock,site,2021-01-08,2021,1,1,2021-01-01
whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark,Thailand,Similan,Shark Fin Reef,site,2021-01-08,2021,1,3,2021-01-01
tiger shark,Galeocerdo,cuvier,Galeocerdo cuvier,shark,Thailand,Similan,Shark Fin Reef,site,2021-01-08,2021,1,1,2021-01-01
whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark,Thailand,Similan,Elephant Head Rock,site,2021-01-08,2021,1,5,2021-01-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Similan,Similan Islands,NA,2019-02-15,2019,2,1,2019-02-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Similan,Similan Islands,NA,2019-02-15,2019,2,1,2019-02-01
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Thailand,Similan,Similan Islands,NA,2019-02-15,2019,2,3,2019-02-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Myanmar,Mergui,Mergui Archipelago,NA,2016-12-16,2016,12,3,2016-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Mergui Archipelago,NA,2016-12-16,2016,12,2,2016-12-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2016-12-16,2016,12,1,2016-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Mergui Archipelago,NA,2016-01-05,2016,1,3,2016-01-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2016-01-05,2016,1,3,2016-01-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Shark Cave,site,2016-01-05,2016,1,2,2016-01-01
mobula ray,Mobula,spp,Mobula spp,ray,Thailand,Koh Lipe,8 Mile Rock,site,2022-01-11,2022,1,1,2022-01-01
guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray,Thailand,Surin,Surin Islands,NA,2022-01-11,2022,1,1,2022-01-01
zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Thailand,Similan,Boulder City,site,2022-01-11,2022,1,1,2022-01-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Phuket,Koh Bida Nok,site,2022-01-11,2022,1,6,2022-01-01
zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Thailand,Phuket,Shark Point,site,2022-01-11,2022,1,1,2022-01-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Mergui Archipelago,NA,2017-01-07,2017,1,1,2017-01-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2017-01-07,2017,1,4,2017-01-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2017-01-07,2017,1,5,2017-01-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Myanmar,Mergui,North Twin,site,2017-03-21,2017,3,1,2017-03-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,North Twin,site,2015-11-20,2015,11,1,2015-11-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Similan,Similan Islands,NA,2014-11-13,2014,11,1,2014-11-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Surin,Koh Surin,NA,2014-11-13,2014,11,1,2014-11-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Surin,Koh Surin,NA,2014-11-13,2014,11,1,2014-11-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Surin,Koh Chi,site,2014-11-29,2014,11,1,2014-11-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Mergui Archipelago,NA,2017-01-29,2017,1,3,2017-01-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Mergui Archipelago,NA,2017-01-29,2017,1,1,2017-01-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2017-01-29,2017,1,5,2017-01-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2017-01-29,2017,1,2,2017-01-01
zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Thailand,Similan,Koh Bon,site,2014-12-26,2014,12,1,2014-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Similan Islands,NA,2014-12-26,2014,12,3,2014-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Mergui Archipelago,NA,2018-04-30,2018,4,1,2018-04-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2018-04-30,2018,4,1,2018-04-01
reef manta,Mobula,alfredii,Mobula alfredii,ray,Myanmar,Mergui,Black Rock,site,2018-04-12,2018,4,3,2018-04-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2018-04-12,2018,4,1,2018-04-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Similan,Similan Islands,NA,2018-04-12,2018,4,1,2018-04-01
