species,genus,species_epithet,scientific_name,group,country,region,dive_site,site_type,sighting_date,year,month,n,ym
mobula ray,Mobula,spp,Mobula spp,ray,Myanmar,Mergui,Mergui Archipelago,NA,NA,NA,NA,3,NA
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,NA,NA,NA,5,NA
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Burma Banks,Burma Banks,NA,NA,NA,NA,10,NA
porcupine ray,Urogymnus,asperrimus,Urogymnus asperrimus,ray,Myanmar,Burma Banks,Burma Banks,NA,NA,NA,NA,1,NA
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Burma Banks,Burma Banks,NA,NA,NA,NA,12,NA
tiger shark,Galeocerdo,cuvier,Galeocerdo cuvier,shark,Myanmar,Burma Banks,Burma Banks,NA,NA,NA,NA,1,NA
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,NA,NA,NA,1,NA
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Thailand,Surin,Surin Islands,NA,NA,NA,NA,10,NA
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Similan,Koh Bon,site,NA,NA,NA,1,NA
guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray,Thailand,Similan,Koh Bon,site,NA,NA,NA,1,NA
zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Thailand,Similan,Koh Bon,site,NA,NA,NA,1,NA
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Surin,Richelieu Rock,site,NA,NA,NA,1,NA
