species,sighting_date,dive_site,url,title,excerpt,validation,notes,n_observed,dive_site_std,site_type,country,region,species_std,genus,species_epithet,scientific_name,group
oceanic manta ray,2012-12-25,Koh Tachai Pinnacle,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ding the Christmas tree! What a great atmosphere, good diving, good food, good people, awesome! The Mantas are back ! Manta ray encounter Manta in deep blue sea 25th of December, Christmas day… I wish to ge",valid,NA,2,Koh Tachai,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
Oceanic Manta,2025-12-25,Koh Tachai,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ck ! Manta ray encounter Manta in deep blue sea 25th of December, Christmas day… I wish to get some Mantas for this upcoming dive! We go to Koh Tachai pinnacle. That’s a cleaning station very famous for Man",valid,NA,2,Koh Tachai,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
eagle ray,2012-12-20,Seafan Forest,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","Archipelago 20th of December, after doing 2 dives at the well-known Seafan forest where we found an eagle ray and a school of tunas, we head towards Western Rocky, where we will be able to complete the deep sp",valid,NA,1,Seafan Forest,site,Myanmar,Mergui,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Blotched fantail ray,2012-12-28,Shark Cave,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ng experience for Romain and Carol-Ann… inside the cave the way is obstructed by 2 massive blotched stingrays, that keep us from going all the way through… “it was a WOW feeling” Romain said. On our 2dn dive t",valid,NA,2,Shark Cave,site,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Zebra shark,2012-12-19,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ntas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard sharks and guitar heroes! We saw everything ... ""Vraiment une belle croisière, bien dosée à tout point de",valid,NA,1,Mergui Archipelago,region,Myanmar,Mergui,zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark
whale shark,2022-03-08,Richelieu Rock,https://www.thesmilingseahorse.com/blog/08-mar-2022-a-cruise-for-photographers-around-richelieu-rock,08 Mar 2022: a cruise for photographers around Richelieu Rock - Diving liveaboard in Thailand and Myanmar,School of Jacks The highlight for most diver was for sure the surprise visit of a magnificent Whale shark but unfortunately all the photographers went on this dive with a macro lense! So we didn't get any,valid,NA,1,Richelieu Rock,site,Thailand,Surin,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
eagle ray,2020-12-13,Koh Torinla,https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,10th to 13th of December: a busy weekend on the Andaman Sea - Diving liveaboard in Thailand and Myanmar,"aw Kuhl's rays playing in the sand, a massive Jenkins whiptail ray hiding under a rock, and even an eagle ray and fantail ray cruising past. There were also many cute boxfish, whip coral cowries, and garden ee",valid,NA,1,Koh Torinla,site,Thailand,Surin,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
eagle ray,2020-12-13,Richelieu Rock,https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,10th to 13th of December: a busy weekend on the Andaman Sea - Diving liveaboard in Thailand and Myanmar,f to offer a little kiss to an elated diver! The icing on the cake was a quick fly by from a speedy eagle ray during the safety stop of the night dive. the reef was alive with glass fish this week Many thanks,valid,NA,1,Richelieu Rock,site,Thailand,Surin,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Jenkin's Whipray,2020-12-12,Torinla,https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,10th to 13th of December: a busy weekend on the Andaman Sea - Diving liveaboard in Thailand and Myanmar,"began the 3rd day at Torinla in a veritable ray paradise. Over the course of one dive we saw Kuhl's rays playing in the sand, a massive Jenkins whiptail ray hiding under a rock, and even an eagle ray and",valid,NA,1,Koh Torinla,site,Thailand,Surin,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray
Blotched Fantail Ray,2020-12-12,Torinla,https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,10th to 13th of December: a busy weekend on the Andaman Sea - Diving liveaboard in Thailand and Myanmar,"ise. Over the course of one dive we saw Kuhl's rays playing in the sand, a massive Jenkins whiptail ray hiding under a rock, and even an eagle ray and fantail ray cruising past. There were also many cute",valid,NA,1,Koh Torinla,site,Thailand,Surin,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Jenkin's Whipray,2020-12-12,Torinla,https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,10th to 13th of December: a busy weekend on the Andaman Sea - Diving liveaboard in Thailand and Myanmar,and garden eels shyly poking their heads up when they thought no one was watching. Jenkin whiptail ray hiding under a rock We had such a lovely group of thai divers this week On our surface interval we,valid,NA,1,Koh Torinla,site,Thailand,Surin,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray
Oceanic Manta,2022-04-17,Koh Bon,https://www.thesmilingseahorse.com/blog/12th-april-2022-lots-of-discoveries-in-splendid-sea-beds,Lipe to Richelieu Rock and a world of colors - Diving liveaboard in Thailand and Myanmar,e barrel sponge ;) 3rd and 4th dive are planned to be at Koh Bon where we had the pleasure to see 1 manta on the first day and a whale shark the following morning. As well as this exquisite baby Eagle Ray!,valid,NA,1,Koh Bon,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
eagle ray,2022-04-17,Koh Bon,https://www.thesmilingseahorse.com/blog/12th-april-2022-lots-of-discoveries-in-splendid-sea-beds,Lipe to Richelieu Rock and a world of colors - Diving liveaboard in Thailand and Myanmar,ee 1 manta on the first day and a whale shark the following morning. As well as this exquisite baby Eagle Ray! don't you just love this cute smile? This week was particularly busy because of Songkran holidays,valid,NA,1,Koh Bon,site,Thailand,Similan,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Whale Shark,2022-04-18,Koh Bon,https://www.thesmilingseahorse.com/blog/12th-april-2022-lots-of-discoveries-in-splendid-sea-beds,Lipe to Richelieu Rock and a world of colors - Diving liveaboard in Thailand and Myanmar,are planned to be at Koh Bon where we had the pleasure to see 1 manta on the first day and a whale shark the following morning. As well as this exquisite baby Eagle Ray! don't you just love this cute smil,valid,NA,1,Koh Bon,site,Thailand,Similan,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
Oceanic Manta,2022-03-20,Koh Bon,https://www.thesmilingseahorse.com/blog/15th-march-2022-whale-shark-expedition-but-manta-and-paper-nautilus-sighted,15th March 2022: Whale shark expedition but Manta and paper nautilus sighted! - Diving liveaboard in Thailand and Myanmar,"ys route, we dived Koh Bon next, where we were greeted at the ridge by the visit of a Giant Oceanic manta ray! It went a bit too fast to get the perfect ID Shot for Thailand Manta project database , but it",valid,NA,1,Koh Bon,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
eagle ray,2022-03-20,Koh Bon,https://www.thesmilingseahorse.com/blog/15th-march-2022-whale-shark-expedition-but-manta-and-paper-nautilus-sighted,15th March 2022: Whale shark expedition but Manta and paper nautilus sighted! - Diving liveaboard in Thailand and Myanmar,on pinnacle for the next dive but no manta luck this time … It was still a very nice dive and a big eagle ray played its part and some schooling barracudas kept us company for a while. Thanks to all our lovely,valid,NA,1,Koh Bon,site,Thailand,Similan,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Jenkins Whipray,2022-03-16,Koh Chi,https://www.thesmilingseahorse.com/blog/15th-march-2022-whale-shark-expedition-but-manta-and-paper-nautilus-sighted,15th March 2022: Whale shark expedition but Manta and paper nautilus sighted! - Diving liveaboard in Thailand and Myanmar,orinla where we've spotted many Pickachu nudibranch this season but instead we got loads of Jenkins rays! Which was a great surprise beside the fact no one was equipped for wide-angle photography on this,valid,"""loads""",5,Koh Chi,site,Thailand,Surin,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray
Cowtail Stingray,2022-03-16,Shark Fin Reef (Similans),https://www.thesmilingseahorse.com/blog/15th-march-2022-whale-shark-expedition-but-manta-and-paper-nautilus-sighted,15th March 2022: Whale shark expedition but Manta and paper nautilus sighted! - Diving liveaboard in Thailand and Myanmar,d explored shark fin reef in the morning… what a surprise for me to see my first feather tail sting ray there… The day went on just as planned with 1 dive at deep six playing in the swim throughs followe,valid,NA,1,Shark Fin Reef,site,Thailand,Similan,cowtail stingray,Pastinachus,sephen,Pastinachus sephen,ray
Bluespot mask ray,2025-02-18,Three Trees,https://www.thesmilingseahorse.com/blog/18-feb-2025-7-days-north-andaman-diving-surin-and-similan-national-parks,"Surin & Similan Islands Liveaboard: Dive Thailand’s Best Reefs (Feb 18-24, 2025) - Diving liveaboard in Thailand and Myanmar","wospot snapper swirled over the reef. A Napoleon wrasse made a brief appearance, and a blue-spotted stingray rested on the sandy bottom. Dive 3 at Koh Bon Ridge: We encountered an array of groupers, including",valid,NA,1,Three Trees,site,Thailand,Similan,bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray
Bluespot mask ray,2025-02-22,Three Trees,https://www.thesmilingseahorse.com/blog/18-feb-2025-7-days-north-andaman-diving-surin-and-similan-national-parks,"Surin & Similan Islands Liveaboard: Dive Thailand’s Best Reefs (Feb 18-24, 2025) - Diving liveaboard in Thailand and Myanmar","t Ao Pakkard: We drifted among a school of baby blacktail barracudas, garden eels, and blue-spotted stingrays. A Chromodoris nudibranch clung to a sponge, adding a splash of color. Dive 4 - Night Dive at Ao Pa",valid,NA,3,Three Trees,site,Thailand,Similan,bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray
Blacktip Reef Shark,2025-02-22,Koh Bon,https://www.thesmilingseahorse.com/blog/18-feb-2025-7-days-north-andaman-diving-surin-and-similan-national-parks,"Surin & Similan Islands Liveaboard: Dive Thailand’s Best Reefs (Feb 18-24, 2025) - Diving liveaboard in Thailand and Myanmar",". Dive 4 at Koh Bon Bay (Optional Blackwater Dive): One group explored the bay, where baby blacktip sharks, barracudas, and octopuses were spotted. The blackwater dive team encountered mesmerizing larval cr",valid,babies; night dive,3,Koh Bon,site,Thailand,Similan,blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark
eagle ray,2022-10-16,Richelieu Rock,https://www.thesmilingseahorse.com/blog/1st-trip-of-the-season-marine-ecology-trip-in-the-north-andaman-from-14th-to-19th-of-october-2022,1st trip of the season: Marine Ecology trip in the North Andaman from 14th to 19th of October 2022 - Diving liveaboard in Thailand and Myanmar,"season ! During the second dive, we have spotted a turtle on Ao Packard and some divers spotted an Eagle Ray on Yellow Rock. Pretty nice surprise! Green Sea Turtle Eagle Ray The 3rd dive on Torinla was pretty",valid,NA,1,Richelieu Rock,site,Thailand,Surin,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Blacktip Reef Shark,2022-10-17,Richelieu Rock,https://www.thesmilingseahorse.com/blog/1st-trip-of-the-season-marine-ecology-trip-in-the-north-andaman-from-14th-to-19th-of-october-2022,1st trip of the season: Marine Ecology trip in the North Andaman from 14th to 19th of October 2022 - Diving liveaboard in Thailand and Myanmar,see! On the 3rd dive: the star of the show were surely Shaaarkkks !!! A family of 6 Black tip Reef sharks came close enough for a nice photo!! So lucky! Blacktip Reefshark Batfishes For the last dive of th,valid,NA,6,Richelieu Rock,site,Thailand,Surin,blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark
eagle ray,2022-04-23,Koh Bon,https://www.thesmilingseahorse.com/blog/21th-april-2023-last-andaman-trip-of-the-season,"21th April 2022, last Andaman trip of the season in North Andaman - Diving liveaboard in Thailand and Myanmar","d to dive the west ridge first hoping for Mantas but no luck, instead we had the nice resident baby eagle ray showing off passing in the middle of us as I was shooting some portrait for our guests on top of th",valid,NA,1,Koh Bon,site,Thailand,Similan,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
blacktip reef shark,2022-10-27,Koh Tachai,https://www.thesmilingseahorse.com/blog/22nd-to-29th-of-october-2022-second-trip-of-the-season-north-andaman-liveaboard,"22nd to 29th of October 2022: Second trip of the season, north Andaman liveaboard - Diving liveaboard in Thailand and Myanmar","ddle of a huge school of barracuda, than with an enormous green turtle followed by a black tip reef shark. School of Barracuda Koh Tachai pinnacle Yellow Warty Frogfish Last dive site but not the least, th",valid,NA,1,Koh Tachai,site,Thailand,Similan,blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark
Oceanic Manta,2022-03-25,Koh Bon,https://www.thesmilingseahorse.com/blog/23rd-mars-2022-manta-by-day-and-paper-nautilus-by-night,"23rd Mars 2022 trip, beautiful Andaman Sea and Manta show! - Diving liveaboard in Thailand and Myanmar","the day was at Koh Bon, diving the West Ridge where we spent the whole dive with a majestic Oceanic Manta Ray and a Spotted Eagle Ray swimming a ballet around all the divers from the boat. Wow! Everyone ca",valid,NA,1,Koh Bon,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
Oceanic Manta,2022-03-26,Koh Bon,https://www.thesmilingseahorse.com/blog/23rd-mars-2022-manta-by-day-and-paper-nautilus-by-night,"23rd Mars 2022 trip, beautiful Andaman Sea and Manta show! - Diving liveaboard in Thailand and Myanmar","oh Bon Pinnacle and Koh Bon West Ridge and guess who decided to greet us again? If you are thinking Manta! You'd be correct, a friendly Manta Ray spent more than 20 minutes swimming gracefully around us! S",valid,NA,1,Koh Bon,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
eagle ray,2022-03-25,Koh Bon,https://www.thesmilingseahorse.com/blog/23rd-mars-2022-manta-by-day-and-paper-nautilus-by-night,"23rd Mars 2022 trip, beautiful Andaman Sea and Manta show! - Diving liveaboard in Thailand and Myanmar",diving the West Ridge where we spent the whole dive with a majestic Oceanic Manta Ray and a Spotted Eagle Ray swimming a ballet around all the divers from the boat. Wow! Everyone came back on the boat with sta,valid,NA,1,Koh Bon,site,Thailand,Similan,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Guitarfish,2021-02-26,Koh Chi (surin),https://www.thesmilingseahorse.com/blog/25th-to-28th-february-a-busy-weekend-on-richelieu-rock,Richelieu Rock was fantastic but so busy! - Diving liveaboard in Thailand and Myanmar,ife ! We started in the North of Surin islands National park at Koh chi where we saw again a guitar shark on the sandy bottom. Once more it passed in front of mesmerised divers but away from the cameras! W,valid,NA,1,Koh Chi,site,Thailand,Surin,guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray
Whale Shark,2021-12-27,Richelieu Rock,https://www.thesmilingseahorse.com/blog/27th-december-cruise-we-get-a-whale-shark-for-new-year,27th of December 2021 - North Andaman Liveaboard - 2 whale sharks on Richelieu Rock - Diving liveaboard in Thailand and Myanmar,"tional park this week, was once more on Richelieu rock, the next day, where we met 2 friendly whale sharks, it was so exciting! ​Similan islands had perfect conditions: maybe 50 meter viz this week and mild",valid,NA,2,Richelieu Rock,site,Thailand,Surin,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
Guitarfish,2021-12-27,Torinla,https://www.thesmilingseahorse.com/blog/27th-december-cruise-we-get-a-whale-shark-for-new-year,27th of December 2021 - North Andaman Liveaboard - 2 whale sharks on Richelieu Rock - Diving liveaboard in Thailand and Myanmar,Blog about diving in Burma and Thailand 27th December cruise... We get a whale shark for new year! 13/1/2022 0 Comments Diving into 2022 with lovely guests and 2 beautiful whale sharks,valid,"nan ""We caught a glimpse of a guitar fish in Torinla but unfortunately couldn't get a shot this time""",1,Koh Torinla,site,Thailand,Surin,guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray
eagle ray,2012-11-15,Seafan Forest,https://www.thesmilingseahorse.com/blog/2nd-diving-expedition-burma,Burma diving cruise November 2012 - Diving liveaboard in Thailand and Myanmar,"ple of harlequin shrimps. What a great start! On our second dive there, we literally bumped into an eagle ray and it’s the hectic time when all fish are hunting, rainbow runners, Jacks, trevallies and barracud",valid,NA,1,Seafan Forest,site,Myanmar,Mergui,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
whale shark,2014-01-20,Richelieu Rock,https://www.thesmilingseahorse.com/blog/4-jours-parfaits,4 perfect days - Diving liveaboard in Thailand and Myanmar,"ecially after seeing all the other boats with so many more divers. Amazing vegetarian food. I saw a whale shark, a turtle and and octopus, I am seriously satisfied"" More reviews in our blog | on tripadvisor | pi",valid,NA,1,Richelieu Rock,site,Thailand,Surin,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
eagle ray,2020-12-06,Richelieu Rock,https://www.thesmilingseahorse.com/blog/4th-to-7th-of-december-a-cruise-fit-for-royals,4th to 7th of December: A cruise fit for Royals... - Diving liveaboard in Thailand and Myanmar,"s, kinky cuttlefish and a pair of ghost pipefish and our safety stop offered the bonus of a curious eagle ray cruising by. We were also very excited to find the eggs of a spanish dancer nudibranch which sparke",valid,NA,1,Richelieu Rock,site,Thailand,Surin,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
eagle ray,2021-03-05,Surin Island,https://www.thesmilingseahorse.com/blog/4th-to-the-7th-of-march-2021-a-lucky-cruise-with-a-majority-of-scuba-diving-girls,4th to the 7th of March 2021 a lucky diving cruise with the girls that scuba - Diving liveaboard in Thailand and Myanmar,"ve on Surin islands , were we bumped into a cute yellow box fish, some peacock mantis shrimp and an eagle ray, who came to greet us. One group saw again the elusive Giant guitar shark who is often seen but nev",valid,NA,1,Surin Islands,region,Thailand,Surin,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
eagle ray,2021-03-06,Koh Bon,https://www.thesmilingseahorse.com/blog/4th-to-the-7th-of-march-2021-a-lucky-cruise-with-a-majority-of-scuba-diving-girls,4th to the 7th of March 2021 a lucky diving cruise with the girls that scuba - Diving liveaboard in Thailand and Myanmar,"spending time with them, and in the blue, we were mesmerized by a school of barracuda and a second eagle ray swimming right towards us. The curious batfish buddied up with us for a while as well. Beautiful se",valid,NA,1,Koh Bon,site,Thailand,Similan,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Blotched Fantail Ray,2021-03-06,Koh Bon,https://www.thesmilingseahorse.com/blog/4th-to-the-7th-of-march-2021-a-lucky-cruise-with-a-majority-of-scuba-diving-girls,4th to the 7th of March 2021 a lucky diving cruise with the girls that scuba - Diving liveaboard in Thailand and Myanmar,"first dive saw us jumping on the Pinnacle. Here, we were lucky enough to encounter 4 massive marble rays at the bottom who shallowed up so we could enjoy spending time with them, and in the blue, we were",valid,NA,4,Koh Bon,site,Thailand,Similan,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Giant Guitarfish,2021-03-05,Surin Island,https://www.thesmilingseahorse.com/blog/4th-to-the-7th-of-march-2021-a-lucky-cruise-with-a-majority-of-scuba-diving-girls,4th to the 7th of March 2021 a lucky diving cruise with the girls that scuba - Diving liveaboard in Thailand and Myanmar,"mantis shrimp and an eagle ray, who came to greet us. One group saw again the elusive Giant guitar shark who is often seen but never photographed this season! We knew then that this trip was going to be a",valid,NA,1,Surin Islands,region,Thailand,Surin,giant guitarfish,Rhynchobatus,spp,Rhynchobatus spp,ray
Brown Banded Bamboo Shark,2019-10-25,Submarine,https://www.thesmilingseahorse.com/blog/6-days-trip-from-23rd-to-28th-october-2019,6 days trip from the 23th to 28th October 2019 - Diving liveaboard in Thailand and Myanmar,"er some granite boulder islands, stunning! We spot some rare creatures like blue ribbon eel, bamboo shark, and lots of Maldives sponge snails. After that it's barbecue and rhum time for a great moment to s",valid,NA,1,Submarine,site,Myanmar,Mergui,brown banded bamboo shark,Chiloscyllium,punctatum,Chiloscyllium punctatum,shark
whale shark,2019-10-26,Shark Cave,https://www.thesmilingseahorse.com/blog/6-days-trip-from-23rd-to-28th-october-2019,6 days trip from the 23th to 28th October 2019 - Diving liveaboard in Thailand and Myanmar,xplore '' shark cave '' and its surroundings where we spotted two beautiful seahorses and the first whale shark of the season! (unfortunately no photo this time) Day 3 Hawkbill turtle at Western Rocky Change of,valid,NA,1,Shark Cave,site,Myanmar,Mergui,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
reef shark,2022-04-09,Koh Bida Nok,https://www.thesmilingseahorse.com/blog/6th-april-2022-south-andaman-dive-trip-report,6th April South Andaman dive trip report - Diving liveaboard in Thailand and Myanmar,"of the trip, was at Koh Bida Nok, a nice and easy spot inhabitted by a group of resident black tip reef sharks! Turns out, every guest got to see them! Some of us were lucky enough to have a good look at them w",valid,NA,5,Koh Bida Nok,site,Thailand,Phuket,shark,Carcharhinidae,spp,Carcharhinidae spp,shark
whale shark,2022-04-07,Hin Daeng,https://www.thesmilingseahorse.com/blog/6th-april-2022-south-andaman-dive-trip-report,6th April South Andaman dive trip report - Diving liveaboard in Thailand and Myanmar,"one had seen it, we decided to stay for one more dive giving us another chance… unfortunately, that whale shark must have been in a rush because it did not hang around and Franck not being part of the lucky dive",valid,NA,1,Hin Daeng,site,Thailand,Koh Lanta,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
eagle ray,2023-12-10,Ba Wei,https://www.thesmilingseahorse.com/blog/9th-to-17th-of-december-2023-mergui-archipelago-and-burma-banks-a-dive-adventure,trip report december 9th 2023 Myanmar - Diving liveaboard in Thailand and Myanmar,"es, revealed a hidden gem discovered a decade ago – a cavernous sanctuary that hosted a captivating eagle ray. It was heartwarming to find this majestic creature still calling the place home. Unveiling nature'",valid,NA,1,Ba Wei,site,Myanmar,Mergui,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Botched Fantail Ray,2023-12-11,Shark Cave,https://www.thesmilingseahorse.com/blog/9th-to-17th-of-december-2023-mergui-archipelago-and-burma-banks-a-dive-adventure,trip report december 9th 2023 Myanmar - Diving liveaboard in Thailand and Myanmar,"s and our mask fell upon another tinny seahorse hanging by its tail to its coral branch. A blotched stingray nestled under a rocky alcove, and the elusive presence of a ghost pipefish. The water was a bit col",valid,NA,1,Shark Cave,site,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Botched Fantail Ray,2023-12-11,Submarine,https://www.thesmilingseahorse.com/blog/9th-to-17th-of-december-2023-mergui-archipelago-and-burma-banks-a-dive-adventure,trip report december 9th 2023 Myanmar - Diving liveaboard in Thailand and Myanmar,"ith life and excitement. Here, we were greeted by the magnificent presence of two colossal blotched stingrays, surrounded by an orchestra of bustling marine life. The underwater symphony of colours and movemen",valid,NA,2,Submarine,site,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Botched Fantail Ray,2023-12-11,Western Rocky,https://www.thesmilingseahorse.com/blog/9th-to-17th-of-december-2023-mergui-archipelago-and-burma-banks-a-dive-adventure,trip report december 9th 2023 Myanmar - Diving liveaboard in Thailand and Myanmar,erwater tapestry. The scene was bustling with life – from the majestic presence of massive blotched stingrays and jenkin rays to a bustling school of jacks and emperor fish. Angel fish and butterfly fish paint,valid,NA,3,Western Rocky,site,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Blotched Fantail Ray,2023-12-12,Black Rock,https://www.thesmilingseahorse.com/blog/9th-to-17th-of-december-2023-mergui-archipelago-and-burma-banks-a-dive-adventure,trip report december 9th 2023 Myanmar - Diving liveaboard in Thailand and Myanmar,"d sizable cobias heralded the arrival of something grander. Our attention pivoted as massive marble rays, exhibiting inquisitive behavior, captivated our focus. Their elegant movements followed us, their",valid,NA,2,Black Rock,site,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Greyspot guitarfish,2023-12-12,Black Rock,https://www.thesmilingseahorse.com/blog/9th-to-17th-of-december-2023-mergui-archipelago-and-burma-banks-a-dive-adventure,trip report december 9th 2023 Myanmar - Diving liveaboard in Thailand and Myanmar,"ther, unveiling a secret at these greater depths. A surreal scene unfolded – a carpet of Shovelnose rays, gracefully gliding through the colder-than-usual waters, adding yet another dimension to the myste",valid,"nan ""carpet of ""shovel nose rays""....""",7,Black Rock,site,Myanmar,Mergui,grey-spotted guitarfish,acroteriovatus,spp,acroteriovatus spp,ray
Blotched Fantail Ray,2023-12-13,North Twin,https://www.thesmilingseahorse.com/blog/9th-to-17th-of-december-2023-mergui-archipelago-and-burma-banks-a-dive-adventure,trip report december 9th 2023 Myanmar - Diving liveaboard in Thailand and Myanmar,"a lively underwater scene despite a mild current. Highlights included spotting a magnificent marble ray and two cobias gracefully cruising together at 25 meters. However, the pinnacle's star was an adora",valid,"nan ""carpet of ""shovel nose rays""....""",1,North Twin,site,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
porcupine ray (Urogymnus asperrimus),2023-12-14,Burma Banks,https://www.thesmilingseahorse.com/blog/9th-to-17th-of-december-2023-mergui-archipelago-and-burma-banks-a-dive-adventure,trip report december 9th 2023 Myanmar - Diving liveaboard in Thailand and Myanmar,"dozen nurse sharks, silvertip sharks, and the elusive tiger shark alongside the enigmatic porcupine ray! The underwater spectacle was nothing short of sensational. Later, a change of banks led to more sh",valid,"nan ""carpet of ""shovel nose rays""....""",1,Burma Banks,region,Myanmar,Burma Banks,porcupine ray,Urogymnus,asperrimus,Urogymnus asperrimus,ray
Blotched Fantail Rays,2023-12-15,Burma Banks,https://www.thesmilingseahorse.com/blog/9th-to-17th-of-december-2023-mergui-archipelago-and-burma-banks-a-dive-adventure,trip report december 9th 2023 Myanmar - Diving liveaboard in Thailand and Myanmar,"oos and giant trevallies joined the mesmerizing ensemble, while on the bank's periphery, big marble rays gracefully glided through the depths, adding to the spectacle of this underwater kingdom. Day 7: Ex",valid,NA,5,Burma Banks,region,Myanmar,Burma Banks,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Jenkins Whipray,2023-12-15,Western Rocky,https://www.thesmilingseahorse.com/blog/9th-to-17th-of-december-2023-mergui-archipelago-and-burma-banks-a-dive-adventure,trip report december 9th 2023 Myanmar - Diving liveaboard in Thailand and Myanmar,scene was bustling with life – from the majestic presence of massive blotched stingrays and jenkin rays to a bustling school of jacks and emperor fish. Angel fish and butterfly fish painted the scene wit,valid,NA,3,Western Rocky,site,Myanmar,Mergui,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray
Ray,2023-12-16,Secret Pinnacle - Mergui,https://www.thesmilingseahorse.com/blog/9th-to-17th-of-december-2023-mergui-archipelago-and-burma-banks-a-dive-adventure,trip report december 9th 2023 Myanmar - Diving liveaboard in Thailand and Myanmar,"Volcano Dive Our eighth day commenced at a secret pinnacle site, unveiling a mesmerizing display of rays and lively marine activity. Chevron and yellowtail barracudas vied for attention amidst bustling sc",valid,NA,3,Secret Pinnacle,site,Myanmar,Mergui,ray,Batidae,spp,Batidae spp,ray
