species,sighting_date,dive_site,url,title,excerpt,validation,notes,n_observed,dive_site_std,site_type,country,region,species_std,genus,species_epithet,scientific_name,group
Jenkins Whipray,2016-11-18,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/back-to-warm-water-and-30m-visibility,Back to warm water and 30m visibility !! - Diving liveaboard in Thailand and Myanmar,"ere we spotted some bent stick pipe fish, huge schools of barracudas and big-eye trevallys, jankins stingrays, stone fish and sea horse. Tigertail Seahorse ​This week we had a lovely collection of nudibranchs!",valid,NA,4,Mergui Archipelago,region,Myanmar,Mergui,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray
Oceanic Manta,2019-04-22,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/beautiful-burma,Beautiful burma - Diving liveaboard in Thailand and Myanmar,"ood! ​Dancing and having fun! ​Same for the dive guides!!! Underwater, we have been very lucky too! Manta and whale shark :) Unfortunately, no picture! It was very fishy, alive reefs ... lot of beautiful c",valid,NA,1,Mergui Archipelago,region,Myanmar,Mergui,oceanic manta,Mobula,birostris,Mobula birostris,ray
whale shark,2019-04-22,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/beautiful-burma,Beautiful burma - Diving liveaboard in Thailand and Myanmar,"ing and having fun! ​Same for the dive guides!!! Underwater, we have been very lucky too! Manta and whale shark :) Unfortunately, no picture! It was very fishy, alive reefs ... lot of beautiful corals and creatu",valid,NA,1,Mergui Archipelago,region,Myanmar,Mergui,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
whale shark,2015-01-28,Surin Islands,https://www.thesmilingseahorse.com/blog/best-of-both-worlds-part-i,combo dive cruises - Diving liveaboard in Thailand and Myanmar,"f perfect moments : being the only boat around Surin on the first day, snorkeling AND diving with a whale shark on the second, enjoying Richelieu Rock without anybody else in the water and seeing this very speci",valid,NA,1,Surin Islands,region,Thailand,Surin,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
eagle ray,2015-01-28,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/best-of-both-worlds-part-ii,Best of Thailand and Myanmar - Diving liveaboard in Thailand and Myanmar,"rse sharks were at the rendez-vous , the big stingrays are settling down on several dive sites, and eagle rays graced us with their presence a few times. And let's not forget the two cute turtles who came to sa",valid,NA,1,Mergui Archipelago,region,Myanmar,Mergui,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Blotched Fantail Ray,2015-01-28,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/best-of-both-worlds-part-ii,Best of Thailand and Myanmar - Diving liveaboard in Thailand and Myanmar,"ore ? Through the peephole : who's at the door ? The nurse sharks were at the rendez-vous , the big stingrays are settling down on several dive sites, and eagle rays graced us with their presence a few times.",valid,NA,5,Mergui Archipelago,region,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
nurse shark,2015-01-28,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/best-of-both-worlds-part-ii,Best of Thailand and Myanmar - Diving liveaboard in Thailand and Myanmar,"d great atmosphere on board, could we ask for more ? Through the peephole : who's at the door ? The nurse sharks were at the rendez-vous , the big stingrays are settling down on several dive sites, and eagle rays",valid,NA,3,Mergui Archipelago,region,Myanmar,Mergui,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
Blotched fantail ray,2015-12-04,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/big-dinner,"8 days cruise, undiscovered Mergui Archipelago - Diving liveaboard in Thailand and Myanmar","less than 9 frogfishes, 2 stone fishes sleeping in the top of the sea fan forest pinnacle, turtle, rays and a dozen of smiling seahorses as usual :-) Stay connected for our next adventures and keep an ey",valid,NA,12,Mergui Archipelago,region,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Jenkins Whipray,2024-01-25,Elephant Head,https://www.thesmilingseahorse.com/blog/blackwater-expedition-exploring-the-nocturnal-ocean-wonders,Thailand Blackwater Expedition 2024 - Diving liveaboard in Thailand and Myanmar,"luding white tips, nurse sharks, and a majestic guitarfish evading our lenses. Some massive Jenkins rays were also resting on the sandy bottom at 25 meters and it was a bit frustrating to come back up wit",valid,NA,3,Elephant Head Rock,site,Thailand,Similan,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray
Blotched Fantail Ray,2024-01-26,Koh Bon,https://www.thesmilingseahorse.com/blog/blackwater-expedition-exploring-the-nocturnal-ocean-wonders,Thailand Blackwater Expedition 2024 - Diving liveaboard in Thailand and Myanmar,"Day 3: ​ Our exploration continued with dives around Koh Bon , where encounters with massive Marble Rays and schools of Chevron Barracuda set the tone for an exhilarating day. Moving on to Koh Tachai Pinn",valid,NA,3,Koh Bon,site,Thailand,Similan,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
