scientific_name,mean_slope,l95,u95,p_pos,mean_percent_change,l95_percent_change,u95_percent_change,trend
Nebrius.ferrugineus,0.16148518770129539,0.10961268999999998,0.21357918937749998,1,17.566611630855764,11.584580852586633,23.810153888149916,Increasing
Acroteriobatus.spp,0.07413070313199485,-0.062345342850000006,0.19510491882499997,0.8792222222222222,7.921709592243273,-6.0441639002107825,21.54385021804076,Uncertain
Neotrygon.kuhlii,0.05071571853027034,-0.0100752674625,0.10952447577499991,0.9510555555555555,5.250420570116776,-1.002468198177294,11.574737941289282,Increasing
Triaenodon.obesus,0.03019987304803975,-0.0376354597125,0.09433248188099996,0.8237777777777778,3.1231346266577127,-3.6936047443814424,9.892505785818745,Uncertain
Carcharhinus.amblyrhynchos,0.025025205660158308,-0.054741513799999995,0.11034449284999992,0.7333888888888889,2.622126584947894,-5.327016706282604,11.666268653750514,Uncertain
Batidae.spp,0.022903872002046546,-0.083001429232500007,0.12359986797499976,0.6884444444444444,2.454822408870672,-7.965016816425199,13.156300595961165,Uncertain
Pateobatis.jenkinsii,0.02078413872303689,-0.0597724686,0.09430209157499995,0.7175,2.175946679746207,-5.802116103166127,9.889166169639209,Uncertain
Carcharhinus.melanopterus,0.01936888816228762,-0.048555802924999995,0.08137995447499997,0.7328888888888889,2.0102684518149783,-4.7395820267980735,8.47829864251878,Uncertain
Carcharhinidae.spp,0.01730510867598165,-0.07409052787499999,0.10419541572474995,0.6625,1.8510096158745417,-7.141237292874426,10.981730948410886,Uncertain
Taeniurops.meyeni,0.01249990717245952,-0.032770948872500004,0.056027766337499924,0.7086666666666667,1.2842250305185259,-3.2239799230382222,5.762704977462116,Uncertain
Atelomycterus.marmoratus,0.006022615846427846,-0.0916577799,0.1019609759499998,0.5538888888888889,0.7232741523913336,-8.758265627150296,10.734025811024102,Uncertain
Carcharhinus.albimarginatus,4.3237228651104914e-4,-0.090809963875,0.08772154324999995,0.5117222222222222,0.14348043859408963,-8.680876625671946,9.168409290728096,Uncertain
Selachii.spp,-6.546654255422449e-4,-0.131659118315,0.1254418668074999,0.49933333333333335,0.14218149110105202,-12.336022531094502,13.364926440725625,Uncertain
Carcharhinus.leucas,-0.0024255590350038578,-0.09454205787249999,0.09420408079999994,0.473,-0.13046679884517073,-9.021052988889462,9.878396375784055,Uncertain
Carcharhinus.limbatus,-0.00499867380601597,-0.1214795287325,0.1098054326774999,0.46405555555555555,-0.3293215395873279,-11.439081716155176,11.606090038423888,Uncertain
Stegostoma.tigrinum,-0.01438485002217761,-0.09580100242499999,0.07101286164499998,0.35777777777777775,-1.3401910609264065,-9.135518379880594,7.359503397927132,Uncertain
Mobula.alfredii,-0.015181309279912649,-0.12166804649999999,0.08569757086499992,0.3848888888888889,-1.371304442456164,-11.455775459106416,8.947678897346453,Uncertain
Rhynchobatus.spp,-0.016221983548631715,-0.14972923272249997,0.11223432685149985,0.40544444444444444,-1.391615487395008,-13.905894045316296,11.877498901495281,Uncertain
Pastinachus.ater,-0.01816350078200799,-0.149857389625,0.10779068762499988,0.39294444444444443,-1.591125372490606,-13.916926891010034,11.381458583999239,Uncertain
Galeocerdo.cuvier,-0.020296758846909273,-0.13098049685,0.10062061782499993,0.3441666666666667,-1.8422470046884083,-12.276511693090553,10.58570197429006,Uncertain
Urogymnus.asperrimus,-0.021714056179307877,-0.13010997894999998,0.08408581562499975,0.33655555555555555,-2.0062069219208154,-12.200113566363466,8.77222335275388,Uncertain
Aetobatus.ocellatus,-0.02533887074965749,-0.08623966920000001,0.03707528646249993,0.21016666666666667,-2.4535643810352448,-8.262566150329837,3.777114802778273,Uncertain
Rhina.anclyostomus,-0.02848388856072556,-0.15670064945749998,0.08859276998499994,0.32822222222222225,-2.6230145940293177,-14.504004661227627,9.26356117051033,Uncertain
Rhinobatidae.spp,-0.03004378967792681,-0.13404821821500001,0.07905157049999986,0.27261111111111114,-2.8193730232621697,-12.545210555085985,8.226013338105753,Uncertain
Rhynchobatus.australiae,-0.034375174195296634,-0.1505653582,0.07727891318249959,0.26416666666666666,-3.2208707327470605,-13.97784942481597,8.034335685053415,Uncertain
Mobula.spp,-0.040605098304883486,-0.14765525711925,0.06660976210499962,0.21683333333333332,-3.8381528443937754,-13.727151679439585,6.887828034230143,Uncertain
Rhinocodon.typus,-0.042862744540791725,-0.1351909781675,0.04850826849999991,0.17783333333333334,-4.090857095190087,-12.64509329000984,4.970405128425376,Uncertain
Mobula.birostris,-0.04859466623501263,-0.09959142598999998,0.0028939234999999994,0.03327777777777778,-4.710107792612911,-9.479281337686148,0.2898114938876566,Decreasing
Chiloscyllium.punctatum,-0.05823972161361757,-0.16408148729200003,0.03455800877249997,0.11538888888888889,-5.538582430876729,-15.132713699094001,3.5162075117781906,Uncertain
Urogymnus.granulatus,-0.05949500003437943,-0.1767293633,0.053134149174999985,0.1401111111111111,-5.618254960598633,-16.199345049515657,5.45711054748809,Uncertain
