scientific_name,iucn_status,N_individuals,annual_change,direction,support_increase
Mobula birostris,EN,191,-4.7% (-9.5–0.3),Decreasing,3.3%
Aetobatus ocellatus,EN,98,-2.5% (-8.3–3.8),Uncertain,21.0%
Pateobatis jenkinsii,EN,85,2.2% (-5.8–9.9),Uncertain,71.8%
Rhinocodon typus,EN,46,-4.1% (-12.6–5.0),Uncertain,17.8%
Carcharhinus amblyrhynchos,EN,33,2.6% (-5.3–11.7),Uncertain,73.3%
Stegostoma tigrinum,EN,25,-1.3% (-9.1–7.4),Uncertain,35.8%
Urogymnus asperrimus,EN,8,-2.0% (-12.2–8.8),Uncertain,33.7%
Urogymnus granulatus,EN,3,-5.6% (-16.2–5.5),Uncertain,14.0%
Rhynchobatus australiae,CR,4,-3.2% (-14.0–8.0),Uncertain,26.4%
Rhina anclyostomus,CR,1,-2.6% (-14.5–9.3),Uncertain,32.8%
