dive_site,dive_site_std,site_type,country,region
"3 Trees, Similan",NA,NA,NA,NA
8 MIle Rock,NA,NA,NA,NA
8 Mile Rock,NA,NA,NA,NA
"8 Miles Pinnacle, Koh Lipe",NA,NA,NA,NA
Andaman,NA,NA,NA,NA
Andaman Sea,NA,NA,NA,NA
Andaman and Nicobar Island,NA,NA,NA,NA
Andaman sea (Burma and Thailand),NA,NA,NA,NA
Ao Pakkard,NA,NA,NA,NA
Ao Pakkard Bay,NA,NA,NA,NA
Ba Wei,NA,NA,NA,NA
Bida Nok,NA,NA,NA,NA
Black Rock,NA,NA,NA,NA
Black Rock + Western Rocky,NA,NA,NA,NA
"Black Rock, Mergui",NA,NA,NA,NA
Boonsung wreck,NA,NA,NA,NA
Boulder City,NA,NA,NA,NA
Burma Banks,NA,NA,NA,NA
Cathedral (Mergui),NA,NA,NA,NA
Christmas Point,NA,NA,NA,NA
Coral Bank,NA,NA,NA,NA
Dendro's Peak (Burma),NA,NA,NA,NA
Dendro's Pinnacle,NA,NA,NA,NA
Dragon Island (Mergui),NA,NA,NA,NA
Eagle Rock,NA,NA,NA,NA
Eagle's Nest,NA,NA,NA,NA
Elephant Head,NA,NA,NA,NA
Elephant Head Rock,NA,NA,NA,NA
"Elephant Head, Similan",NA,NA,NA,NA
High Rock,NA,NA,NA,NA
Hin Daeng,NA,NA,NA,NA
Hin Meaung,NA,NA,NA,NA
Hin Muang,NA,NA,NA,NA
Hin Muang Hin Daeng,NA,NA,NA,NA
"Hin Muang, Hin Daeng",NA,NA,NA,NA
Hin meaung,NA,NA,NA,NA
Kitten City,NA,NA,NA,NA
Kitten City (Similan),NA,NA,NA,NA
Koh Bida Nok,NA,NA,NA,NA
Koh Bon,NA,NA,NA,NA
Koh Bon Pinnacle,NA,NA,NA,NA
Koh Chi,NA,NA,NA,NA
Koh Chi (surin),NA,NA,NA,NA
"Koh Chi, Surin National Park",NA,NA,NA,NA
Koh Ha,NA,NA,NA,NA
Koh Haa,NA,NA,NA,NA
Koh Lipe,NA,NA,NA,NA
Koh Surin,NA,NA,NA,NA
Koh Taa Chai,NA,NA,NA,NA
Koh Tachai,NA,NA,NA,NA
Koh Tachai Pinnacle,NA,NA,NA,NA
Koh Torinla,NA,NA,NA,NA
Lanta National Park,NA,NA,NA,NA
Mergui,NA,NA,NA,NA
Mergui (south),NA,NA,NA,NA
Mergui Archipelago,NA,NA,NA,NA
Mergui Arichpelago,NA,NA,NA,NA
"Narcondam island, Andaman and Nicobar",NA,NA,NA,NA
North Ridge,NA,NA,NA,NA
"North Ridge, Ko Bon",NA,NA,NA,NA
North Twin,NA,NA,NA,NA
"North Twin, Mergui",NA,NA,NA,NA
North point,NA,NA,NA,NA
Phuket,NA,NA,NA,NA
Racha Noi,NA,NA,NA,NA
Rainbow Bank,NA,NA,NA,NA
Rainbow Reef,NA,NA,NA,NA
Richelieu Rock,NA,NA,NA,NA
Rocky Point,NA,NA,NA,NA
Roe Bank,NA,NA,NA,NA
Row Bank,NA,NA,NA,NA
Sea Fan Forest,NA,NA,NA,NA
Seafan Forest,NA,NA,NA,NA
Secret Pinnacle - Mergui,NA,NA,NA,NA
Shark Cave,NA,NA,NA,NA
"Shark Cave, Mergui",NA,NA,NA,NA
Shark Fin Reef,NA,NA,NA,NA
Shark Fin Reef (Similans),NA,NA,NA,NA
Shark Point,NA,NA,NA,NA
Shark cave,NA,NA,NA,NA
Shark point,NA,NA,NA,NA
Silvertip Bank,NA,NA,NA,NA
Similan Islands,NA,NA,NA,NA
Similan Islands (Christmas Point),NA,NA,NA,NA
Similan Islands (Three Tree),NA,NA,NA,NA
Similan Islands (Three Trees),NA,NA,NA,NA
Similan National Park,NA,NA,NA,NA
Similan National park,NA,NA,NA,NA
South Similan,NA,NA,NA,NA
South Twin,NA,NA,NA,NA
"South Twin, Mergui",NA,NA,NA,NA
Square Rock,NA,NA,NA,NA
Square rock,NA,NA,NA,NA
Stonehenge,NA,NA,NA,NA
"Stonehenge, Tarutao National Park",NA,NA,NA,NA
Submarine,NA,NA,NA,NA
Surin Island,NA,NA,NA,NA
Surin Islands,NA,NA,NA,NA
Surin National Park,NA,NA,NA,NA
Tachai Pinnacle,NA,NA,NA,NA
Tarutao National Park,NA,NA,NA,NA
Thailand (Andaman),NA,NA,NA,NA
"Three Islets, Mergui",NA,NA,NA,NA
Three Trees,NA,NA,NA,NA
"Three Trees, Similan National Park",NA,NA,NA,NA
Torinla,NA,NA,NA,NA
Tower Rock,NA,NA,NA,NA
"Tower Rock, Mergui",NA,NA,NA,NA
Volcano,NA,NA,NA,NA
West of Eden,NA,NA,NA,NA
Western Rocky,NA,NA,NA,NA
"Western Rocky, Mergui",NA,NA,NA,NA
Yellow Rock,NA,NA,NA,NA
"west ridge, Koh Bon",NA,NA,NA,NA
