species,species_std,genus,species_epithet,scientific_name
Bamboo Shark,NA,NA,NA,NA
Bamboo sharks,NA,NA,NA,NA
Blacktip Reef Shark,NA,NA,NA,NA
Blacktip Reef Sharks,NA,NA,NA,NA
Blacktip reef shark,NA,NA,NA,NA
Blotched Fantail Ray,NA,NA,NA,NA
Blotched Fantail Rays,NA,NA,NA,NA
Blotched fantail Ray,NA,NA,NA,NA
Blotched fantail ray,NA,NA,NA,NA
Blue Spotted Maskray,NA,NA,NA,NA
Bluespot Maskray,NA,NA,NA,NA
Bluespot Maskrays,NA,NA,NA,NA
Bluespot mask ray,NA,NA,NA,NA
Bluespot maskray,NA,NA,NA,NA
Botched Fantail Ray,NA,NA,NA,NA
Bowmouth Guitarfish,NA,NA,NA,NA
Brown Banded Bamboo Shark,NA,NA,NA,NA
Bull Shark,NA,NA,NA,NA
Bull shark,NA,NA,NA,NA
Coral Cat Shark,NA,NA,NA,NA
Cownose Eagle Ray,NA,NA,NA,NA
Cowtail Stingray,NA,NA,NA,NA
Eagle Ray,NA,NA,NA,NA
Eagle Rays,NA,NA,NA,NA
Giant Guitarfish,NA,NA,NA,NA
Grey Reef Shark,NA,NA,NA,NA
Greyspot Guitarfish,NA,NA,NA,NA
Greyspot guitarfish,NA,NA,NA,NA
Guitarfish,NA,NA,NA,NA
Guitarshark,NA,NA,NA,NA
Jenkin's Whipray,NA,NA,NA,NA
Jenkins Whipray,NA,NA,NA,NA
Jenkins Whiprays,NA,NA,NA,NA
Jenkins whipray,NA,NA,NA,NA
Kuhl's Ray,NA,NA,NA,NA
Kuhl's stingray,NA,NA,NA,NA
Leopard  Shark,NA,NA,NA,NA
Leopard Shark,NA,NA,NA,NA
Leopard shark,NA,NA,NA,NA
Mangrove Whipray,NA,NA,NA,NA
Minke Whale,NA,NA,NA,NA
Mobula Ray,NA,NA,NA,NA
Mobula Rays,NA,NA,NA,NA
Mobula ray,NA,NA,NA,NA
Nurse Shark,NA,NA,NA,NA
Nurse Sharks,NA,NA,NA,NA
Nurse shark,NA,NA,NA,NA
Nurse sharks,NA,NA,NA,NA
Oceanic Blacktip Shark,NA,NA,NA,NA
Oceanic Manta,NA,NA,NA,NA
Oceanic Manta Rays,NA,NA,NA,NA
Oceanic Mantas,NA,NA,NA,NA
Oceanic manta,NA,NA,NA,NA
Oceanic manta ray,NA,NA,NA,NA
Porcupine Ray,NA,NA,NA,NA
Ray,NA,NA,NA,NA
Rays,NA,NA,NA,NA
Reef Sharks,NA,NA,NA,NA
Requiem Shark,NA,NA,NA,NA
SGuitarfish,NA,NA,NA,NA
Silvertip,NA,NA,NA,NA
Silvertip Reef Shark,NA,NA,NA,NA
Silvertip Shark,NA,NA,NA,NA
Silvertip Sharks,NA,NA,NA,NA
Spotted Eagle Ray,NA,NA,NA,NA
Tiger Shark,NA,NA,NA,NA
Torpedo Ray,NA,NA,NA,NA
Whale Shark,NA,NA,NA,NA
Whale sharks,NA,NA,NA,NA
White Tip Reef,NA,NA,NA,NA
White Tip Reef Shark,NA,NA,NA,NA
White Tip Reef Sharl,NA,NA,NA,NA
White tip reef shark,NA,NA,NA,NA
White tip reef sharks,NA,NA,NA,NA
Whitespot Guitarfish,NA,NA,NA,NA
Whitespotted Wedgefish,NA,NA,NA,NA
Whitetip Reef Shark,NA,NA,NA,NA
Whitetip Reef Sharks,NA,NA,NA,NA
Whitetip reef shark,NA,NA,NA,NA
Zebra Shark,NA,NA,NA,NA
Zebra shark,NA,NA,NA,NA
bamboo shark,NA,NA,NA,NA
black tip reef shark,NA,NA,NA,NA
black-tip reef shark,NA,NA,NA,NA
blacktip reef shark,NA,NA,NA,NA
blotched fantail ray,NA,NA,NA,NA
blotched fantail rays,NA,NA,NA,NA
blue-spotted maskray,NA,NA,NA,NA
bluespot maskray,NA,NA,NA,NA
bluespotted maskray,NA,NA,NA,NA
bull shark,NA,NA,NA,NA
cat shark,NA,NA,NA,NA
coral catshark,NA,NA,NA,NA
devil ray,NA,NA,NA,NA
eagle ray,NA,NA,NA,NA
giant oceanic manta ray,NA,NA,NA,NA
grey reef shark,NA,NA,NA,NA
grey reef sharks,NA,NA,NA,NA
guitar fish Spp.,NA,NA,NA,NA
guitar shark,NA,NA,NA,NA
guitarfish,NA,NA,NA,NA
jenkins stingray,NA,NA,NA,NA
jenkins whipray,NA,NA,NA,NA
leopard shark,NA,NA,NA,NA
mangrove whipray,NA,NA,NA,NA
manta,NA,NA,NA,NA
manta ray,NA,NA,NA,NA
mobula,NA,NA,NA,NA
mobulas ray,NA,NA,NA,NA
nurse shark,NA,NA,NA,NA
oceanic manta ray,NA,NA,NA,NA
porcupine ray (Urogymnus asperrimus),NA,NA,NA,NA
ray,NA,NA,NA,NA
reef shark,NA,NA,NA,NA
requiem shark,NA,NA,NA,NA
shark,NA,NA,NA,NA
silvertip shark,NA,NA,NA,NA
tiger shark,NA,NA,NA,NA
whale shark,NA,NA,NA,NA
white spotted wedge fish,NA,NA,NA,NA
white spotted wedgefish,NA,NA,NA,NA
white tip reef shark,NA,NA,NA,NA
white-tip reef shark,NA,NA,NA,NA
zebra shark,NA,NA,NA,NA
