year,mean_month,n
2012,8.714285714285714,7
2013,8.666666666666666,3
2014,11.333333333333334,3
2015,7.5,10
2016,5.636363636363637,11
2017,4.833333333333334,12
2018,5.266666666666667,15
2019,5.5,14
2020,1.7142857142857142,7
2023,11,2
2024,7.333333333333333,6
2025,1.8,5
