month,mean_n,sd_n,n
1,15,17.169093679567883,19
2,17.9,18.272322725307195,10
3,10.5,10.739932674190925,14
4,10.923076923076923,8.807776284450183,13
5,9.5,2.1213203435596424,2
9,1,NA,1
10,23,32.61901286060018,5
11,5.866666666666666,4.926120853842977,15
12,12.4375,20.21870009009811,16
